"p","omega","delta","mu_e","mu_ql","mu_el","mu_qn","mu_en","mu_qa","mu_ea","mu_h","beta_nh","beta_hl","beta_hn","lambda_l","lambda_n","lambda_a","alpha","f_l","f_n","f_a","kappa","c","Tf","obsprob","T_min_l","gamma","E0","QL0","EL_s0","EL_i0","QN_s0","QN_i0","EN_s0","EN_i0","QA_s0","QA_i0","EA0","H_s0","H_i0","LogLik","LogLik",
2000,4.06524289315294,0.5,0.02618,0.0068,0.001428,0.0034,0.000476,0.00136,0.000408,0.002739726027397,0.9,0.8,0.8,0.004319602703399,0.000454907199328,22.7167123365178,1660,0.811816042480104,0.802787878277247,0.943543124025258,2.65003082836381E-05,0.4,4,1.01004440443732,17.1230050087288,0.333333333333333,118759.922913225,278.256634656427,3.45200606655199,330.333278835467,4.73527000079068,131.463430978399,72.1692225895677,12.6927915558558,1358.21048542522,43217.2464668057,551.493101843503,0.00039948823996,0.998769234509798,-8580.48335987012,-8580.460451,0.022908870119864
2000,4.21286405910223,0.5,0.02618,0.0068,0.001428,0.0034,0.000476,0.00136,0.000408,0.002739726027397,0.9,0.8,0.8,0.004325115191461,0.000431847458551,28.5437679337936,1660,0.855031898601162,0.853761740602382,0.938883448721939,2.13097222630926E-05,0.4,4,1.03853940570947,17.1904478582164,0.333333333333333,13772.6243618874,183.189944001425,0.561444402733304,350.924057067154,14.6934694484207,117.423826052338,130.977064121307,9.1990153578418,744.56747963941,83798.7899488093,35062.5556580825,0.000420794967232,0.998238890867624,-8584.58309748222,-8584.548859,0.034238482219735
2000,4.11784064406548,0.5,0.02618,0.0068,0.001428,0.0034,0.000476,0.00136,0.000408,0.002739726027397,0.9,0.8,0.8,0.004454954967059,0.000407728331839,27.5537412333528,1660,0.837453836896002,0.850593205884106,0.926581984822755,2.10958490739859E-05,0.4,4,1.23972071648446,16.9227962056149,0.333333333333333,351469.176420448,37.5393401409209,2.79034333494652,302.006211423157,3.23587655285142,235.875657702143,0.25881037077201,6.23934216932715,1353.53226233293,107208.753470461,17499.5318554131,0.002537639893258,0.996014590029672,-8579.39212722959,-8579.353726,0.038401229590818
2000,4.39064450613754,0.5,0.02618,0.0068,0.001428,0.0034,0.000476,0.00136,0.000408,0.002739726027397,0.9,0.8,0.8,0.004759964570001,0.000405546217517,31.5534245101483,1660,0.826362523145531,0.89148939111838,0.938965016737586,1.88346769102985E-05,0.4,4,1.11864768038578,23.3012673696682,0.333333333333333,339195.191325044,224.775668858636,0.443631934797017,268.828701384723,2.55370161126567,142.449402472172,1.68663046948946,13.0707281999931,1179.9957146484,401.199334436275,135003.328115605,0.000147719325862,0.999266281952864,"NA","NaN","#VALUE!"
2000,4.94908497101491,0.5,0.02618,0.0068,0.001428,0.0034,0.000476,0.00136,0.000408,0.002739726027397,0.9,0.8,0.8,0.004695944832661,0.000433936887017,23.5586810079435,1660,0.832288281130511,0.943901807029416,0.890196143293017,2.69811416377853E-05,0.4,4,1.01807849380319,17.0469636439829,0.333333333333333,29109.5973805278,2203.39890790807,0.322181474445689,298.011772704202,10.5481710068887,168.88203046854,0.238248950031221,3.01459713659534,1752.58411695052,92113.0180198091,27942.2392544217,0.000235184354903,0.99933320426804,-8589.00279093522,-8588.963733,0.039057935218807
2000,4.54260931133763,0.5,0.02618,0.0068,0.001428,0.0034,0.000476,0.00136,0.000408,0.002739726027397,0.9,0.8,0.8,0.00459922723324,0.000429565093072,21.1818024499894,1660,0.838079451044891,0.868330921937716,0.89872514466283,3.03403009823962E-05,0.4,4,1.18763959982367,17.1168950879611,0.333333333333333,492.26467483615,300.477890550136,0.953638246032093,277.992870881757,2.36809331741427,140.349727863406,89.9171673307709,0.024737689049964,280.461940094358,56550.1720807819,47501.1973828809,0.000107085879588,0.999323640707122,-8581.8693214594,-8581.791764,0.07755745940085
2000,4.47781708840147,0.5,0.02618,0.0068,0.001428,0.0034,0.000476,0.00136,0.000408,0.002739726027397,0.9,0.8,0.8,0.004438949567531,0.000429551495408,38.4272659983403,1660,0.840192580132197,0.969332533166102,0.916765575070367,1.84366495044958E-05,0.4,4,1.03462510085886,17.1398765048314,0.333333333333333,28131.5865518492,53.4700393595726,0.378691725124434,332.014553105822,3.81463201980579,147.363138513961,3.70806124251821,108.872888108923,315.960727929562,61058.6002397827,2956.03210053948,8.60065885990763E-05,0.999716001760219,-8592.02664028889,-8592.014816,0.011824288889329
2000,4.08674356367438,0.5,0.02618,0.0068,0.001428,0.0034,0.000476,0.00136,0.000408,0.002739726027397,0.9,0.8,0.8,0.004318210219606,0.000428693006339,24.2223126310921,1660,0.831054786627452,0.865630802963609,0.919760371323445,2.53035314631844E-05,0.4,4,1.44420959851265,17.115227355755,0.333333333333333,1061.30002732861,2423.53637716024,0.00902255655682,343.971388069629,1.37848395373829,195.167718438467,1.66881662261837,8.08738566348544,1142.90834535287,48482.5298992569,195268.217544126,0.000246099906281,0.999155844866227,-8578.68597214844,-8578.662412,0.023560148440083
2000,4.25289404311539,0.5,0.02618,0.0068,0.001428,0.0034,0.000476,0.00136,0.000408,0.002739726027397,0.9,0.8,0.8,0.004523453028492,0.000435428259994,23.0857124116145,1660,0.832961254638456,0.864580331220007,0.862915801115051,2.68561556590221E-05,0.4,4,1.57984275496779,17.1370003126062,0.333333333333333,9593.71795708773,59.216863792772,67.2777949879596,339.747676235015,1.12728703136751,186.531528271394,12.4414643502327,6.60240034719543,339.73880582854,48.2401559339992,29271.4493935321,4.02845317163303E-05,0.999619579386588,-8578.15030296596,-8578.1432,0.007102965959348
2000,4.2018959974591,0.5,0.02618,0.0068,0.001428,0.0034,0.000476,0.00136,0.000408,0.002739726027397,0.9,0.8,0.8,0.004465622903175,0.000434572376462,30.4275413300915,1660,0.809368795486368,0.891839798307983,0.928390822032295,2.11727125746787E-05,0.4,4,0.98795184493659,17.1288995967441,0.333333333333333,314038.263270239,245.65399927088,1.00864816834666,291.208214082855,1.04600434385027,206.40263367279,2.38975881163527,28.4672879458838,2090.87361936368,69387.7965203429,16375.1067232937,0.00047420379892,0.998808367955077,-8584.7907968682,-8584.749155,0.041641868199804
