"Year"," Month","Temperature"
1950,4,10.06666667
1950,5,16.51290323
1950,6,19.44666667
1950,7,22.13225806
1950,8,20.58709677
1950,9,15.73333333
1950,10,8.106451613
1950,11,5.273333333
1950,12,0.887096774
1951,1,0.896774194
1951,2,3.432142857
1951,3,4.151612903
1951,4,9.806666667
1951,5,13.97096774
1951,6,17.86333333
1951,7,19.49677419
1951,8,20.34516129
1951,9,16.91
1951,10,7.958064516
1951,11,7.46
1951,12,1.406451613
1952,1,-1.112903226
1952,2,-0.962068966
1952,3,1.95483871
1952,4,12.31666667
1952,5,13.74193548
1952,6,17.84333333
1952,7,21.4516129
1952,8,21.62903226
1952,9,13.06666667
1952,10,9.090322581
1952,11,2.66
1952,12,-0.612903226
1953,1,-1.425806452
1953,2,0.567857143
1953,3,3.993548387
1953,4,10.42333333
1953,5,13.92903226
1953,6,18.22333333
1953,7,20.67419355
1953,8,17.82580645
1953,9,15.75
1953,10,11.15806452
1953,11,2.943333333
1953,12,-0.041935484
1954,1,-5.838709677
1954,2,-6.789285714
1954,3,5.219354839
1954,4,7.176666667
1954,5,13.56774194
1954,6,18.71333333
1954,7,17.28064516
1954,8,18.51935484
1954,9,15.82
1954,10,9.316129032
1954,11,3.33
1954,12,2.925806452
1955,1,-1.896774194
1955,2,-0.171428571
1955,3,1.141935484
1955,4,7.443333333
1955,5,12.89677419
1955,6,16.69666667
1955,7,19.14516129
1955,8,17.81612903
1955,9,14.69666667
1955,10,9.14516129
1955,11,4.063333333
1955,12,1.677419355
1956,1,-0.064516129
1956,2,-9.562068966
1956,3,0.932258065
1956,4,8.433333333
1956,5,14.08387097
1956,6,16.10666667
1956,7,19.18387097
1956,8,18.09354839
1956,9,14.87333333
1956,10,8.996774194
1956,11,1.633333333
1956,12,-0.687096774
1957,1,-3.509677419
1957,2,3.1
1957,3,6.125806452
1957,4,9.083333333
1957,5,11.65806452
1957,6,19.60666667
1957,7,20.09354839
1957,8,17.43225806
1957,9,13.66666667
1957,10,8.8
1957,11,5.533333333
1957,12,0.306451613
1958,1,-2.390322581
1958,2,2.625
1958,3,0.283870968
1958,4,7.303333333
1958,5,17.9483871
1958,6,16.86
1958,7,19.96774194
1958,8,19.21612903
1958,9,15.14
1958,10,10.42580645
1958,11,5.26
1958,12,2.225806452
1959,1,-0.412903226
1959,2,-1.257142857
1959,3,6.796774194
1959,4,9.98
1959,5,13.93548387
1959,6,16.86333333
1959,7,20.21290323
1959,8,18.25806452
1959,9,13.57666667
1959,10,8.058064516
1959,11,4.273333333
1959,12,2.783870968
1960,1,-1.487096774
1960,2,-0.682758621
1960,3,4.580645161
1960,4,9.313333333
1960,5,13.38387097
1960,6,18.38333333
1960,7,17.40322581
1960,8,18.53870968
1960,9,13.40666667
1960,10,10.86774194
1960,11,5.986666667
1960,12,2.635483871
1961,1,-2.880645161
1961,2,2.657142857
1961,3,7.125806452
1961,4,12.30333333
1961,5,12.88387097
1961,6,18.50333333
1961,7,17.99677419
1961,8,18.59032258
1961,9,16.73666667
1961,10,11.1
1961,11,4.323333333
1961,12,-1.422580645
1962,1,-0.883870968
1962,2,-0.264285714
1962,3,1.029032258
1962,4,10.34666667
1962,5,12.69032258
1962,6,15.93666667
1962,7,17.59677419
1962,8,19.92903226
1962,9,13.55
1962,10,9.529032258
1962,11,3.403333333
1962,12,-3.916129032
1963,1,-6.116129032
1963,2,-5.632142857
1963,3,1.390322581
1963,4,10.5
1963,5,14.28709677
1963,6,18.46333333
1963,7,20.64516129
1963,8,18.88387097
1963,9,15.60333333
1963,10,9.119354839
1963,11,7.61
1963,12,-5.903225806
1964,1,-6.029032258
1964,2,-0.462068966
1964,3,0.9
1964,4,10.07
1964,5,14.23548387
1964,6,19.78666667
1964,7,19.93548387
1964,8,18.03225806
1964,9,14.83666667
1964,10,8.793548387
1964,11,6.18
1964,12,-0.519354839
1965,1,-0.622580645
1965,2,-2.953571429
1965,3,3.870967742
1965,4,8.17
1965,5,12.75483871
1965,6,17.43666667
1965,7,18.38387097
1965,8,16.77419355
1965,9,14.93
1965,10,7.577419355
1965,11,1.76
1965,12,0.880645161
1966,1,-3.964516129
1966,2,5.064285714
1966,3,3.870967742
1966,4,10.94
1966,5,13.98709677
1966,6,17.58333333
1966,7,17.86451613
1966,8,17.58387097
1966,9,14.54666667
1966,10,12.77096774
1966,11,3.023333333
1966,12,0.635483871
1967,1,-2.209677419
1967,2,1.010714286
1967,3,5.964516129
1967,4,8.66
1967,5,14.57419355
1967,6,17.34666667
1967,7,21
1967,8,18.57419355
1967,9,15.59666667
1967,10,10.68387097
1967,11,4.02
1967,12,-0.703225806
1968,1,-3.95483871
1968,2,1.406896552
1968,3,4.412903226
1968,4,10.65666667
1968,5,14.46774194
1968,6,18.28666667
1968,7,19.14193548
1968,8,17.29677419
1968,9,14.29333333
1968,10,9.74516129
1968,11,4.813333333
1968,12,-3.177419355
1969,1,-3.090322581
1969,2,-2.15
1969,3,2.1
1969,4,8.976666667
1969,5,16.40322581
1969,6,16.42333333
1969,7,19.59032258
1969,8,17.36774194
1969,9,14.84666667
1969,10,9.477419355
1969,11,5.303333333
1969,12,-3.248387097
1970,1,-2.561290323
1970,2,-0.739285714
1970,3,2.625806452
1970,4,8.543333333
1970,5,12.37741935
1970,6,18.25333333
1970,7,18.80645161
1970,8,18.73870968
1970,9,14.5
1970,10,8.212903226
1970,11,6.75
1970,12,-0.274193548
1971,1,-2.577419355
1971,2,2.160714286
1971,3,1.422580645
1971,4,10.19333333
1971,5,15.71612903
1971,6,16.71666667
1971,7,20.19032258
1971,8,20.57741935
1971,9,13.11333333
1971,10,8.616129032
1971,11,3.203333333
1971,12,1.796774194
1972,1,-2.883870968
1972,2,2.220689655
1972,3,5.883870968
1972,4,9.31
1972,5,13.50967742
