,"r","js"
"473",266.2941,266.4507
"474",221.5919,221.7228
"475",184.394,184.5029
"476",153.4404,153.5309
"477",127.6827,127.7581
"478",141.377,141.4649
"479",169.0103,169.1199
"480",194.7795,194.9092
"481",221.2591,221.4093
"482",260.8069,260.9861
"483",326.23,326.4559
"484",432.1754,432.4727
"485",621.5462,621.9623
"486",923.9883,924.9601
"487",1300.763,1301.954
"488",1714.9,1716.251
"489",2131.03,2132.489
"490",2519.199,2520.738
"491",2857.262,2858.832
"492",3133.939,3135.506
"493",3346.154,3347.706
"494",3496.394,3497.922
"495",3588.211,3589.717
"496",3629.669,3631.164
"497",3633.93,3635.421
"498",3613.33,3614.821
"499",3580.452,3581.871
"500",3549.443,3550.88
"501",3524.246,3525.698
"502",3505.805,3507.265
"503",3494.192,3495.665
"504",3483.363,3484.886
"505",3461.651,3463.162
"506",3424.524,3426.013
"507",3368.311,3369.779
"508",3304.563,3306.013
"509",3247.841,3249.278
"510",3195.173,3196.6
"511",3142.028,3143.447
"512",3078.58,3080.144
"513",2983.812,2985.354
"514",2848.186,2849.673
"515",2647.343,2648.741
"516",2394.542,2395.962
"517",2114.492,2115.742
"518",1839.802,1840.885
"519",1558.11,1559.021
"520",1296.554,1297.312
"521",1078.904,1079.535
"522",897.7915,898.3159
"523",747.0816,747.5178
"524",621.6714,622.0336
"525",517.3134,517.6147
"526",430.4729,430.7244
"527",358.2104,358.4196
"528",298.0783,298.2525
"529",248.0414,248.1856
"530",270.2231,270.3769
"531",295.2435,295.4088
"532",329.3208,329.5027
"533",374.8954,375.1001
"534",422.8003,423.0289
"535",463.837,464.0864
"536",497.3923,497.6571
"537",529.6315,529.9128
"538",590.8086,590.5287
"539",773.5031,772.986
"540",1160.963,1160.46
"541",1745.015,1744.758
"542",2412.931,2413.504
"543",3010.835,3011.66
"544",3493.894,3494.858
"545",3865.392,3866.441
"546",4138.65,4139.753
"547",4330.967,4332.097
"548",4455.537,4456.669
"549",4521.92,4523.041
"550",4539.572,4540.675
"551",4519.198,4520.251
"552",4473.405,4474.457
"553",4409.648,4410.694
"554",4335.145,4336.186
"555",4258.238,4259.111
"556",4190.383,4191.356
"557",4115.585,4116.605
"558",4020.931,4021.976
"559",3895.954,3897.014
"560",3766.416,3767.485
"561",3667.347,3668.425
"562",3598.305,3599.394
"563",3556.266,3557.369
"564",3511.702,3513.64
"565",3372.812,3374.715
"566",3084.416,3086.18
"567",2708.365,2709.929
"568",2301.793,2303.132
"569",1915.398,1916.513
"570",1593.866,1594.794
"571",1326.306,1327.079
"572",1103.662,1104.305
"573",918.3929,918.9283
"574",764.2242,764.6701
"575",635.9354,636.3073
"576",529.1827,529.4923
"577",440.3504,440.6074
"578",366.4301,366.6437
"579",304.9181,305.0958
"580",253.7325,253.8803
"581",298.1135,298.3446
"582",338.5707,338.8233
"583",376.4273,376.7003
"584",413.7428,414.0366
"585",451.4277,451.7432
"586",493.7934,494.1341
"587",543.4962,543.867
"588",596.8668,597.2705
"589",655.4879,655.9246
"590",752.9521,752.9209
"591",974.3995,974.2516
"592",1380.696,1380.583
"593",1947.704,1947.747
"594",2570.446,2570.954
"595",3126.068,3126.702
"596",3570.811,3571.506
"597",3901.213,3901.927
"598",4127.558,4128.28
"599",4268.199,4268.93
"600",4342.175,4342.942
"601",4364.649,4365.469
"602",4349.258,4350.147
"603",4309.739,4310.667
"604",4259.255,4260.295
"605",4203.536,4204.684
"606",4148.499,4149.755
"607",4099.534,4100.89
"608",4056.893,4058.379
"609",4012.996,4014.589
"610",3962.119,3963.807
"611",3898.09,3899.861
"612",3818,3819.839
"613",3719.402,3721.289
"614",3594.544,3596.451
"615",3436.145,3438.04
"616",3235.081,3236.498
"617",3004.852,3006.183
"618",2752.773,2754.01
"619",2489.836,2490.968
"620",2226.055,2227.512
"621",1944.891,1946.128
"622",1656.291,1657.331
"623",1378.254,1379.12
"624",1146.89,1147.61
"625",954.3641,954.9639
"626",794.1574,794.6565
"627",660.8445,661.2599
"628",549.9106,550.2563
"629",457.5984,457.8859
"630",380.7823,381.0216
"631",316.8612,317.0603
"632",263.6704,263.8363
"633",219.4093,219.5472
"634",182.5776,182.6924
"635",151.9287,152.0243
"636",126.4247,126.5044
"637",162.5467,162.6279
"638",212.3404,212.428
"639",268.5286,268.6252
"640",331.0617,331.1698
"641",397.3535,397.4753
"642",494.2048,493.8174
"643",739.4955,738.9333
"644",1235.055,1234.648
"645",1941.231,1941.207
"646",2688.957,2689.45
"647",3322.966,3323.655
"648",3800.656,3801.396
"649",4130.206,4130.919
"650",4335.087,4335.761
"651",4458.809,4459.477
"652",4532.555,4533.275
"653",4564.092,4564.898
"654",4562.008,4562.914
"655",4533.063,4534.12
"656",4481.434,4482.538
"657",4417.944,4419.082
"658",4350.709,4351.858
"659",4288.864,4289.646
"660",4259.363,4260.335
"661",4242.784,4243.851
"662",4219.64,4220.767
"663",4174.687,4175.858
"664",4095.468,4096.672
"665",3970.364,3971.583
"666",3785.549,3786.758
"667",3499.512,3500.66
"668",3135.697,3136.165
"669",2792.138,2792.66
"670",2477.311,2477.857
"671",2191.715,2192.265
"672",1932.747,1933.53
"673",1686.378,1687.079
"674",1421.264,1421.859
"675",1182.68,1183.175
"676",984.1472,984.5591
"677",818.9411,819.2838
"678",681.4676,681.7528
"679",567.0715,567.3089
"680",471.8792,472.0762
"681",392.6665,392.83
"682",326.7502,326.8863
"683",271.8994,272.0133
"684",226.2562,226.3511
"685",188.2755,188.354
"686",156.6701,156.7356
"687",130.3703,130.4249
"688",108.4852,108.5307
"689",90.27397,90.31191
"690",133.8621,133.9285
"691",199.0447,199.1519
"692",292.7387,292.902
"693",424.3074,424.5464
"694",639.8446,640.8376
"695",937.9496,939.2715
"696",1312.473,1313.999
"697",1748.32,1749.952
"698",2224.292,2225.676
"699",2735.891,2737.235
"700",3250.509,3251.795
"701",3724.34,3725.538
"702",4123.874,4124.962
"703",4433.982,4434.959
"704",4659.38,4660.255
"705",4811.259,4812.05
"706",4901.89,4902.612
"707",4945.079,4945.697
"708",4956.431,4957.033
"709",4943.141,4943.736
"710",4911.584,4912.179
"711",4868.811,4869.291
"712",4826.23,4826.772
"713",4778.232,4778.817
"714",4719.454,4720.075
"715",4646.535,4647.188
"716",4560.448,4561.132
"717",4463.337,4464.048
"718",4351.953,4352.687
"719",4221.727,4222.477
"720",4058.341,4059.413
"721",3807.515,3808.573
"722",3442.491,3443.479
"723",3030.254,3031.147
"724",2631.162,2631.881
"725",2221.823,2222.435
"726",1848.852,1849.361
"727",1538.488,1538.912
"728",1280.226,1280.579
"729",1065.318,1065.611
"730",886.4854,886.7297
"731",737.6738,737.8771
"732",613.8428,614.0119
"733",510.7981,510.9389
"734",425.0516,425.1688
"735",353.6989,353.7964
"736",294.3244,294.4055
"737",244.9169,244.9844
"738",203.8034,203.8595
"739",169.5915,169.6382
"740",141.1225,141.1614
"741",117.4326,117.4649
"742",131.7771,131.8198
"743",219.4112,219.4966
"744",350.4659,350.6119
"745",538.6459,538.8749
"746",813.0647,813.8354
"747",1187.001,1187.964
"748",1665.858,1666.927
"749",2218.163,2219.256
"750",2784.545,2785.794
"751",3295.262,3296.417
"752",3720.957,3721.994
"753",4055.716,4056.628
"754",4303.424,4304.221
"755",4473.842,4474.544
"756",4579.653,4580.285
"757",4633.071,4633.652
"758",4645.272,4645.818
"759",4627.824,4628.302
"760",4591.537,4592.017
"761",4540.721,4541.204
"762",4480.63,4481.119
"763",4416.511,4417.01
"764",4352.772,4353.286
"765",4292.679,4293.211
"766",4238.236,4238.787
"767",4190.137,4190.709
"768",4135.213,4135.807
"769",4054.283,4054.897
"770",3939.468,3940.098
"771",3784.258,3784.893
"772",3573.839,3574.629
"773",3254.503,3255.267
"774",2873.361,2874.062
"775",2493.811,2494.431
"776",2096.297,2096.821
"777",1744.398,1744.832
"778",1451.569,1451.932
"779",1207.897,1208.2
"780",1005.131,1005.382
"781",836.4017,836.612
"782",695.9971,696.1722
"783",579.1623,579.307
"784",481.9399,482.0601
"785",401.0375,401.1375
